,Provincia,Depto,Población,Cantidad de hogares,Hogares con agua corriente de red (%),Hogares con cloacas (%),Hogares con gas de red (%),Hogares con acceso a internet (%),Población con vivienda propia (%),Población inquilina (%),Escolaridad de menores de entre 3-17 años (%),Población sin cobertura de salud (%),Latitud,Longitud
214,CÓRDOBA,TERCERO ARRIBA,120918,45250,96.8,50.0,62.9,80.2,63.7,23.7,95.9,28.7,-32.28771,-63.77925
215,CÓRDOBA,TOTORAL,22495,7531,89.3,3.2,28.2,55.0,68.7,17.2,95.0,38.7,-30.72613,-63.98425
216,CÓRDOBA,TULUMBA,14134,5147,80.6,2.3,0.9,42.7,72.9,13.2,92.0,49.4,-30.22227,-63.81181
217,CÓRDOBA,UNIÓN,114571,42587,95.2,45.2,52.0,80.0,65.9,18.7,95.5,33.2,-32.87845,-62.79143
218,CORRIENTES,BELLA VISTA,44406,13636,78.5,53.8,0.9,53.2,78.2,8.7,89.4,54.9,-28.49739,-58.93044
219,CORRIENTES,BERÓN DE ASTRADA,2826,963,88.5,7.4,1.9,15.2,85.1,3.1,89.9,49.2,-27.47797,-57.61138
220,CORRIENTES,CAPITAL,439270,137451,96.7,78.1,1.9,69.1,71.2,14.7,91.9,33.3,-27.52219,-58.76271
221,CORRIENTES,CONCEPCIÓN,26282,7669,89.0,6.3,0.8,24.4,84.6,4.6,86.3,65.3,-28.4084,-58.03138
222,CORRIENTES,CURUZU CUATIA,51532,16644,88.8,73.9,0.7,66.5,74.3,10.1,89.7,39.0,-29.69552,-58.32484
223,CORRIENTES,EMPEDRADO,17968,5631,70.7,10.3,1.1,38.6,81.0,5.4,90.8,43.0,-27.89612,-58.66584
224,CORRIENTES,ESQUINA,39185,11814,60.2,44.7,1.2,56.9,73.8,8.9,84.0,53.7,-29.98548,-59.24142
225,CORRIENTES,GENERAL ALVEAR,9145,3060,89.7,25.2,1.0,41.8,71.7,7.9,88.3,48.2,-28.77518,-56.51153
226,CORRIENTES,GENERAL PAZ,17020,5557,82.7,39.7,1.0,29.0,79.8,6.9,88.9,52.2,-27.71992,-57.78762
227,CORRIENTES,GOYA,106371,33457,84.5,63.4,1.4,52.4,73.7,9.9,90.0,49.9,-29.45145,-59.25591
228,CORRIENTES,ITATÍ,12010,3688,78.5,28.1,0.9,30.0,77.9,6.6,91.6,54.7,-27.34606,-58.07138
229,CORRIENTES,ITUZAINGÓ,38837,12457,89.4,29.0,0.7,38.8,70.2,9.9,89.4,46.3,-27.91143,-56.79048
230,CORRIENTES,LAVALLE,40448,11627,73.9,34.0,0.9,33.3,76.3,6.9,86.1,68.3,-28.988,-58.93372
231,CORRIENTES,MBURUCUYÁ,11568,3826,82.0,33.4,0.7,21.8,81.7,6.0,88.7,51.9,-28.01638,-58.18556
232,CORRIENTES,MERCEDES,49882,15529,89.2,66.4,1.1,60.5,77.7,9.8,90.4,47.4,-29.06451,-57.81839
233,CORRIENTES,MONTE CASEROS,45670,14642,90.5,82.6,0.7,66.7,70.2,14.6,88.2,45.3,-30.22896,-57.87029
234,CORRIENTES,PASO DE LOS LIBRES,56989,17896,87.6,68.2,1.4,53.7,71.6,13.2,90.7,46.8,-29.59364,-57.29963
235,CORRIENTES,SALADAS,29198,8457,83.4,38.8,0.9,36.8,76.9,7.9,87.3,54.1,-28.21247,-58.61991
236,CORRIENTES,SAN COSME,19706,6482,67.2,5.1,0.8,52.6,78.3,7.1,89.6,39.1,-27.38231,-58.51749
237,CORRIENTES,SAN LUIS DEL PALMAR,21459,6245,75.4,37.3,0.6,55.2,79.2,6.5,89.2,46.6,-27.60205,-58.26854
238,CORRIENTES,SAN MARTÍN,15187,4987,90.8,43.6,0.9,34.1,74.7,9.2,88.6,46.6,-28.82897,-56.93159
239,CORRIENTES,SAN MIGUEL,12713,3833,83.4,3.9,0.9,28.2,82.5,3.6,87.9,61.8,-27.87582,-57.40999
240,CORRIENTES,SAN ROQUE,22715,6868,87.9,30.8,0.9,40.7,81.8,5.5,88.0,56.1,-28.7058,-58.61302
241,CORRIENTES,SANTO TOMÉ,71927,23424,91.1,67.2,1.1,58.4,72.6,15.0,89.1,40.2,-28.23111,-56.22221
242,CORRIENTES,SAUCE,10382,3286,87.6,54.6,1.1,60.7,79.8,7.1,88.6,52.1,-29.99954,-58.79504
243,ENTRE RÍOS,COLÓN,75305,27796,89.2,79.5,29.7,76.6,64.9,21.3,94.0,31.0,-32.01148,-58.36991
244,ENTRE RÍOS,CONCORDIA,198802,64806,94.0,81.2,20.3,72.1,70.9,11.7,91.7,45.1,-31.2903,-58.23787
245,ENTRE RÍOS,DIAMANTE,53595,19672,88.3,64.4,36.0,75.4,65.4,19.8,93.6,27.7,-32.22804,-60.52393
246,ENTRE RÍOS,FEDERACIÓN,78691,26248,89.3,85.5,16.7,73.6,70.3,17.0,90.9,43.8,-30.73489,-58.15915
247,ENTRE RÍOS,FEDERAL,29667,9999,86.6,61.4,9.9,63.0,72.3,11.6,92.4,44.0,-30.99243,-58.89186
248,ENTRE RÍOS,FELICIANO,16803,5387,82.4,66.6,6.6,64.3,78.3,9.4,92.2,48.7,-30.41394,-58.7288
249,ENTRE RÍOS,GUALEGUAY,57303,20385,89.6,81.0,34.0,66.5,69.1,16.1,93.5,34.0,-33.1199,-59.60162
250,ENTRE RÍOS,GUALEGUAYCHÚ,126147,45599,90.6,87.7,38.7,75.7,66.0,18.0,94.8,35.6,-33.02235,-58.78579
251,ENTRE RÍOS,ISLAS DEL IBICUY,14000,4676,65.1,34.8,1.9,52.0,70.1,10.6,92.6,44.4,-33.62413,-58.93516
252,ENTRE RÍOS,LA PAZ,75407,24525,88.8,70.7,13.3,66.0,72.6,10.6,93.4,47.2,-30.89746,-59.50045
253,ENTRE RÍOS,NOGOYÁ,43195,15109,85.2,76.4,28.3,67.9,69.9,12.8,93.6,36.6,-32.21871,-59.7697
